líon	lʲ iː n̪ˠ
scuabadh	ˈsˠ k u ə bˠ ə
mbrata	ˈmˠ ɾˠ a t̪ˠ ə
Chonnachta	ˈx ɔ n̪ˠ ə x t̪ˠ ə
leag	l̠ʲ a ɡ
chor	x ɔ ɾˠ
háidí	ˈh aː d iː
mart	mˠ a ɾˠ tˠ
cealgfaidh	ˈc a l̪ˠ ə k ə
fhírinne	ˈiː ɾʲ ɪ ɲ ɪ
gheala	ˈj a lˠ ə
samhnas	ˈsˠ ã u nˠ ə sˠ
otharlann	ˈɔ h ə ɾˠ l̪ˠ ə nˠ
buan	bˠ u ə n̪ˠ
adaí	ˈa d̪ˠ i
Tibéidis	tʲ ə ˈbʲ eː dʲ ə ʃ
goilfidh	ˈɡ ɪ lʲ h ə
déag	dʲ eː ɡ
siabann	ˈʃ i ə bˠ ə n̪ˠ
abar	ˈa bˠ ə ɾˠ
chuiris	ˈx ɪ ɾʲ ə ʃ
síolmhar	ˈʃ iː l̪ˠ vˠ ə ɾˠ
curtha	ˈk ʌ ɾˠ h ə
piobar	ˈpʲ ɯ bˠ ə ɾˠ
blás	ˈbˠ lˠ ɑː sˠ
biolar	ˈbʲ ɪ l ə ɾˠ
tógaim	ˈt̪ˠ oː ɡ ə mʲ
fireann	ˈfʲ ɪ ɾʲ ə n̪ˠ
téagarthach	ˈtʲ eː ɡ ə ɾˠ a x
guaillí	ˈɡ u ə l̠ʲ iː
imigh	ˈɪ mʲ ɪ ɟ
baois	bˠ iː ʃ
urchar	ˈʊ ɾˠ ə x ə ɾˠ
ois	ɪ ʃ
modhúil	ˈmˠ ʌ w ə lʲ
bhfaigheas	w ɑː sˠ
lomfad	ˈl̪ˠ ɑ u mˠ h ə d̪ˠ
cófra	ˈk oː ɾˠ h ə
cím	ˈc iː mʲ
prioslaire	ˈpʲ ɾʲ ɪ sˠ l̪ˠ ə ɾʲ ə
atá	ə ˈt̪ˠ ɑː
airíoch	ˈæ ɾʲ i a x
críonna	ˈc ɾʲ iː n̪ˠ ə
breathnaím	ˈbʲ ɾʲ a n̪ˠ iː mʲ
teoiric	ˈtʲ oː ɾʲ ɪ c
cuibhrinn	ˈk ɪ vʲ ɾʲ ə n̠ʲ
hurais	ˈh ʊ ɾˠ ə ʃ
seachas	ˈʃ a x ə sˠ
féile	ˈfʲ eː lʲ ə
cogal	ˈk ɔ ɡ ə l̪ˠ
thura	ˈh ʊ ɾˠ ə
deire	ˈdʲ ɛ ɾʲ ə
baol	bˠ eː l̪ˠ
dearthár	dʲ ɾʲ ə ˈh aː ɾˠ
domh	d̪ˠ ʊ̃ h
cothrom	ˈk ɔ h ɾˠ ə mˠ
ngreadadh	ˈɲ ɾʲ a d̪ˠ u
hair	h a ɾʲ
adhnaic	ˈə i n̪ˠ ə c
laidhre	ˈl̪ˠ ə i ɾʲ ə
féich	fʲ eː ç
corraigh	ˈk ɔ ɾˠ ɪ ɟ
gnóthachtáil	ˈɡ ɾˠ uː x t̪ˠ ɑː lʲ
faigheann	ˈfˠ ɑ j ə n̪ˠ
cuan	k u ə n̪ˠ
fír	fʲ iː ɾʲ
haithne	ˈh æ n̠ʲ ə
Críost	c ɾʲ iː sˠ t̪ˠ
trócaire	ˈt̪ˠ ɾˠ oː k ə ɾʲ ə
uaireadóir	u ə ɾʲ ə ˈd̪ˠ oː ɾʲ
dóchas	ˈd̪ˠ ɔ x ə sˠ
Caitríona	k a ˈtʲ ɾʲ iː n̪ˠ ə
eaglais	ˈa ɡ ə l̪ˠ ə ʃ
fadó	fˠ a ˈd̪ˠ oː
casfaidh	ˈk a sˠ ə
teagascóir	ˈtʲ a ɡ ə sˠ k oː ɾʲ
ndéanfaidh	ˈn̠ʲ aː nˠ h ə
sinsear	ˈʃ iː n̠ʲ sʲ ə ɾˠ
dlaoi	d̪ˠ l̪ˠ iː
bean	bʲ a n̪ˠ
cúngach	ˈk uː ŋ ɡ ə x
cúlriascach	ˈk uː lˠ ɾˠ eː s k a x
nó	n̪ˠ oː
cóngarach	ˈk oː ŋ ɡ ə ɾˠ ə x
lasadh	ˈl̪ˠ ɑ sˠ ə
díolfaidh	ˈdʲ i ə lˠ h ə
daingním	d̪ˠ a ɲ ɟ ə ˈnʲ iː mʲ
anamhaith	ˈɑ n̪ˠ ə vˠ ɑ h
sloinneadh	ˈsˠ l̪ˠ ɨ̞ n̠ʲ u
taga	ˈt̪ˠ a ɡ ə
fiacháil	ˈfʲ i a̯ x æ lʲ
pasta	ˈpˠ a sˠ t̪ˠ ə
tógaimid	ˈt̪ˠ oː ɡ ə mʲ ə dʲ
tríd	tʲ ɾʲ iː dʲ
ngréin	ɲ ɾʲ eː nʲ
gorm	ˈɡ ɔ ɾˠ ə mˠ
lem	lʲ ɛ mˠ
thoir	h ɛ ɾʲ
gránach	ˈɡ ɾˠ ɑː nˠ ə x
urramach	ˈʌ ɾˠ ə mˠ a x
ríúil	ɾˠ iː ˈuː lʲ
calma	ˈk a l̪ˠ ə mˠ ə
puball	ˈpˠ ʊ bˠ ə l̪ˠ
buíon	bˠ iː nˠ
moilt	mˠ ɪ lʲ tʲ
mhair	vˠ a ɾʲ
planda	p l̪ˠ a u n̪ˠ d̪ˠ ə
loscann	ˈl̪ˠ ɔ sˠ k ə n̪ˠ
Domhnaigh	ˈd̪ˠ uː n ə
buartha	ˈbˠ u ə ɾˠ h ə
maol	mˠ eː l̪ˠ
bhog	vˠ ɔ ɡ
tarcaisne	ˈt̪ˠ ɑ ɾˠ k ə ʃ nʲ ə
meilleog	mʲ ə ˈl̠ʲ oː ɡ
cheintiméadar	ç ɛ nʲ tʲ ə ˈmʲ eː d̪ˠ ə ɾˠ
sliogán	ʃ lʲ ə ˈɡ ɑ̃ː n̪ˠ
cosaint	ˈk ɔ sˠ ə n̠ʲ tʲ
beimid	ˈbʲ ɛ mʲ ə dʲ
chladhaire	ˈx l̪ˠ ɑ i ɾʲ ə
ceannaím	c a ˈn̪ˠ iː mʲ
lúbfad	ˈl̪ˠ uː pˠ ə d̪ˠ
nua	n̪ˠ oː
gairge	ˈɡ a ɾʲ ɪ ɟ ə
áth	ɑː
altán	ˈa l̪ˠ t̪ˠ ɑː n̪ˠ
geal	ɟ a l̪ˠ
ear	a ɾˠ
bán	bˠ ɑː n̪ˠ
cic	c ɪ c
bhfuair	vˠ u ə ɾʲ
éisteacht	ˈeː ʃ tʲ ə x t̪ˠ
barúil	bˠ ə ˈɾˠ uː lʲ
éadan	ˈeː d̪ˠ ə n̪ˠ
chéanna	ˈç iː a̯ n̪ˠ ə
faca	ˈfˠ a k ə
macra	ˈmˠ a k ɾˠ ə
fuiriste	ˈfʲ ɾʲ ɪ ʃ tʲ ə
gruaig	ɡ ɾˠ u ə ɟ
fuair	fˠ u ə ɾʲ
amhrasach	ˈɑ v ɾˠ ə sˠ ə x
anraith	ˈa n̪ˠ ɾˠ ə h
dúinn	d̪ˠ uː n̠ʲ
goidte	ˈɡ ɪ tʲ ə h ə
aclaí	ˈa k lˠ i
roithleán	ˈɾˠ ɨ̞ h lʲ a nˠ
pálás	pˠ ɑː ˈl̪ˠ ɑː sˠ
aigesan	ˈɛ ɟ ə sˠ ə n
úim	uː mʲ
glas	ɡ l̪ˠ ɑ sˠ
athraithe	ˈa h ɾˠ ɪ h ə
ógh	oː
tais	t̪ˠ a ʃ
dreoilín	dʲ ɾʲ oː ˈlʲ iː nʲ
fiuch	fʲ ɨ̞ x
ósna	ˈoː sˠ n̪ˠ ə
Eibhlín	ə i ˈlʲ iː nʲ
eireog	ˈeː ɾʲ ɔ ɡ
tS	t̪ˠ
againn	ə ˈɡ ɪ nʲ
síle	ˈʃ iː lʲ ə
céid	c eː dʲ
croíúil	k ɾˠ iː ˈuː lʲ
shín	h iː nʲ
níosa	ˈnʲ iː sˠ ə
neamhthuilleamaíoch	ˌn̠ʲ ã u ˈh i l̠ʲ ə mˠ i a x
spéir	sˠ pʲ eː ɾʲ
geise	ˈɟ ɛ ʃ ə
geit	ɟ ɛ tʲ
dearbhóchaidh	ˈdʲ a ɾˠ ə fˠ a x ə
séasúr	sˠ eː ˈsˠ uː ɾˠ
loing	l̪ˠ iː ɲ ɟ
brabúsach	bˠ ɾˠ a ˈbˠ uː sˠ ə x
ciceáil	c ɪ ˈc aː lʲ
láidre	ˈl̪ˠ ɑː dʲ ə ɾʲ ə
muidne	ˈmˠ ɪ dʲ nʲ ə
bróig	bˠ ɾˠ oː ɟ
miodóg	mʲ ɪ ˈd̪ˠ oː ɡ
luide	ˈl̪ˠ ɪ dʲ ə
lae	l̪ˠ eː
Éabha	ˈeː vˠ ə
scoláireacht	sˠ k ə ˈlˠ ɑː ɾʲ ə x t̪ˠ
caitheamh	ˈk a h ə v
colg	ˈk ɔ l̪ˠ ə ɡ
áitím	ɑː ˈtʲ iː mʲ
abaidh	ˈɑ bʲ ɪ ɟ
ollaimh	ˈɔ l̪ˠ ə vʲ
scriú	sˠ k ɾˠ uː
scriosta	ˈsˠ c ɾʲ ɨ̞ sˠ t̪ˠ ə
dreapaireacht	ˈdʲ ɾʲ a pˠ ə ɾʲ a x t̪ˠ
búch	bˠ uː x
sail	s a lʲ
pósaid	pˠ oː sˠ ə dʲ
bailithe	ˈbˠ a l iː
maireachtaint	ˈmˠ ɾˠ a x t̪ˠ ə nʲ tʲ
harc	h a ɾˠ k
caighdeánach	k ə i ˈdʲ aː n̪ˠ ə x
carball	ˈk a ɾˠ ə bˠ ə l̪ˠ
dár	d̪ˠ ɑː ɾˠ
bardasach	ˈbˠ ɑː ɾˠ d̪ˠ ə sˠ ə x
lonradh	ˈl̪ˠ ã ũ n̪ˠ ɾˠ ə
altú	ˈa l̪ˠ t̪ˠ u
neide	ˈn̠ʲ ɛ dʲ ə
cuileog	k ɪ ˈlʲ oː ɡ
seanchas	ˈʃ a n̪ˠ ə x ə sˠ
sciath	ʃ c i ə
cochán	k ə ˈx ɑː n̪ˠ
ceilg	ˈc ɛ lʲ ɪ ɟ
chugham	x uː mˠ
tóig	t̪ˠ oː ɟ
Gaeilic	ˈɡ eː lʲ ə c
tháinig	ˈh ɑː nʲ ɪ ɟ
dot	d̪ˠ ɔ t̪ˠ
oileadh	ˈɛ lʲ ə ɡ
cliathán	ˈc lʲ iː h a nˠ
gabháltas	ɡ ə ˈvˠ ɑː l̪ˠ t̪ˠ ə sˠ
fheicfeadh	ˈɛ c ə x
sioc	ʃ ʊ k
éilím	eː ˈlʲ iː mʲ
dísle	ˈdʲ iː ʃ l̠ʲ ə
aga	ˈa ɡ ə
linbhín	lʲ ɪ nʲ ə ˈvʲ iː nʲ
foghlaim	ˈfˠ oː l̪ˠ ɪ mʲ
ligh	lʲ ɪ ɟ
lus	l̪ˠ ʊ sˠ
shloinne	ˈh l̪ˠ ɪ n̠ʲ ə
méad	mʲ eː d̪ˠ
duan	d̪ˠ u ə n̪ˠ
cruinnigh	ˈk ɾˠ ɪ ɲ ɪ ɟ
seacht	ʃ a x t̪ˠ
aoi	iː
molta	ˈmˠ ɔ l̪ˠ t̪ˠ ə
iompaigh	ˈʊ mˠ pˠ ə
uaill	u ə l̠ʲ
díbríodh	dʲ iː ˈbʲ ɾʲ iː ɡ
shíl	h iː lʲ
bronntanas	ˈbˠ ɾˠ ɑ u n̪ˠ t̪ˠ ə n̪ˠ ə sˠ
tíolacthaí	ˈtʲ i ə l̪ˠ ə k i
meáite	ˈmʲ ɑː tʲ ə
chiúin	ç uː nʲ
féidir	ˈfʲ eː dʲ ə ɾʲ
madra	ˈmˠ a d̪ˠ ɾˠ ə
bhfadhb	vˠ ə i bˠ
maitheas	mˠ a h ə sˠ
eiteadha	ˈɛ tʲ uː
gamhnach	ˈɡ ã u n a x
feighil	fʲ ə i lʲ
suimiúil	sˠ ɪ ˈmʲ uː lʲ
miailíteas	ˈmʲ i ə lʲ iː tʲ ə sˠ
ciar	c i ə ɾˠ
géire	ˈɟ eː ɾʲ ə
aspal	ˈa sˠ pˠ ə lˠ
céibhe	ˈc eː vʲ ə
áras	ˈɑː ɾˠ ə sˠ
báire	ˈbˠ ɑː ɾʲ ə
bainfidh	ˈbˠ ɪ nʲ h ə
Dubhghus	ˈd̪ˠ uː ɣ u sˠ
bearrtha	ˈbʲ ɑː ɾˠ h ə
bándearg	ˈbˠ ɑː nˠ ˌdʲ a ɾˠ ə ɡ
burdún	bˠ uː ɾˠ ˈd̪ˠ uː n̪ˠ
tionscadal	ˈtʲ i n̪ˠ sˠ k ə d̪ˠ ə lˠ
deoir	dʲ oː ɾʲ
bhfaightear	ˈw a h a ɾˠ
nathair	ˈn̪ˠ ɑ h ə ɾʲ
gciliméadar	ɟ ɪ lʲ ə ˈmʲ eː d̪ˠ ə ɾˠ
tobann	ˈt̪ˠ ɔ bˠ ə n̪ˠ
réalta	ˈɾˠ eː l̪ˠ t̪ˠ ə
táille	ˈt̪ˠ ɑː lʲ ə
cardáil	k ɑː ɾˠ ˈd̪ˠ ɑː lʲ
ómáideach	ˈoː mˠ æ dʲ a x
neimhe	ˈn̠ʲ ɨ̞̃ vʲ ə
arís	ə ˈɾʲ iː ʃ
Fínín	fʲ iː ˈnʲ iː nʲ
Corcaigh	ˈk ɔ ɾˠ k ə ɟ
brúigh	bˠ ɾˠ uː ɟ
smionagar	ˈsˠ mʲ ɨ̞ nˠ ə ɡ ə ɾˠ
Páras	ˈpˠ ɑː ɾˠ ə sˠ
boird	bˠ oː ɾˠ dʲ
seachain	ˈʃ a x ə nʲ
osna	ˈɔ sˠ n̪ˠ ə
umhal	u ə l̪ˠ
mion	mʲ ɨ̞ n̪ˠ
desean	ˈdʲ ɛ ʃ ə n̪ˠ
cléibh	c lʲ eː vʲ
rámha	ɾˠ ɑ̃ː
uile	ˈɪ lʲ ə
cornadh	ˈk oː ɾˠ n̪ˠ ə
aibíd	ˈæ bʲ iː dʲ
ciseáin	c ɪ ˈʃ aː nʲ
geaitire	ˈɟ a tʲ ə ɾʲ ə
raithneach	ˈɾˠ æ h nʲ a x
ráthanna	ˈɾˠ aː x ə n̪ˠ i
airm	ˈɪ ɾʲ ə mʲ
mallacht	mˠ ə ˈl̪ˠ ɑ x t̪ˠ
déanaidís	ˈdʲ iː n ə dʲ iː ʃ
colla	ˈk ʌ l̪ˠ ə
spliota	ˈsˠ pʲ lʲ ɨ̞ t̪ˠ ə
bhfréimh	vʲ rʲ eː vʲ
deise	ˈdʲ ɛ ʃ ə
canfaidh	ˈk a nˠ h ə
cosúil	k ə ˈsˠ uː lʲ
tíor	tʲ iː ɾˠ
litear	ˈl̠ʲ ɪ tʲ ə ɾˠ
teora	ˈtʲ oː ɾˠ ə
monarcaí	mˠ ɔ nˠ ə ɾˠ ˈk iː
Chásca	ˈx ɑː sˠ k ə
candála	ˈk a n̪ˠ d̪ˠ ɑː l̪ˠ ə
orthusan	ˈɔ ɾˠ ə pˠ sˠ ə n
aer	eː ɾˠ
shínigh	ˈh iː nʲ ɪ ɟ
sealadach	ˈʃ a lˠ ə d̪ˠ ə x
agamsa	ˈa ɡ ə mˠ sˠ ə
alpán	ɑ l̪ˠ ˈpˠ ɑː n̪ˠ
domsa	ˈd̪ˠ ɔ mˠ sˠ ə
eolas	ˈoː lˠ ə sˠ
broc	bˠ ɾˠ ɔ k
thú	h uː
cuain	k u ə nʲ
aichear	ˈa ç ə ɾˠ
shéabraí	ˈh eː bˠ ɾˠ iː
casaoid	k ə ˈsˠ iː dʲ
maoin	mˠ iː nʲ
tarraing	ˈt̪ˠ a ɾʲ ɪ ɟ
fáilte	ˈfˠ ɑː lʲ tʲ ə
lic	l̠ʲ ɪ c
céibheanna	ˈc eː vʲ ə n̪ˠ iː
Rr	ɾˠ
litiam	ˈl̠ʲ ɪ tʲ i ə mˠ
fáilt	fˠ ɑː lʲ tʲ
ceárta	ˈc aː ɾˠ t̪ˠ ə
beirtear	ˈbʲ ɛ ɾʲ t ə ɾʲ
páiste	ˈpˠ ɑː ʃ tʲ ə
buíochán	bˠ i ə ˈx ɑː n̪ˠ
toghadh	ˈt̪ˠ a u . ə
faighinn	ˈfˠ a i ə n̠ʲ
banana	bˠ ə ˈn̪ˠ a n̪ˠ ə
toir	t̪ˠ ɛ ɾʲ
múinteoir	mˠ uː n̠ʲ ˈtʲ oː ɾʲ
théann	h eː n̪ˠ
eisceacht	ə ʃ ˈc a x t̪ˠ
foclóirí	fˠ ə ˈk l̪ˠ oː ɾʲ iː
fosclóchaidh	ˈfˠ ɔ sˠ k lˠ a x i
fraoch	fˠ ɾˠ eː x
paráistí	pˠ ə ˈɾˠ ɑː ʃ tʲ iː
bacadh	ˈbˠ ɑ k ə
fágáil	fˠ ɑː ˈɡ ɑː lʲ
mhéad	vʲ eː d̪ˠ
suime	ˈsˠ ɪ mʲ ə
chuig	x ɪ ɟ
cé	c eː
muirear	ˈmˠ ɪ ɾʲ ə ɾˠ
chailín	x a ˈlʲ iː nʲ
dhiúil	j uː lʲ
ceoltóir	c oː l̪ˠ ˈt̪ˠ oː ɾʲ
bheanna	ˈvʲ a n̪ˠ ə
sna	sˠ nˠ ə
d'fhágadh	ˈd̪ˠ ɑː ɡ ə x
teaghlach	ˈtʲ ə i ɫ̪ ə x
cléireach	ˈc lʲ eː ɾʲ ə x
frithir	ˈfʲ ɾʲ ɪ h ə ɾʲ
meáchan	ˈmʲ aː x ə nˠ
chrann	x ɾˠ a u n̪ˠ
blí	ˈbʲ lʲ i ə
tit	tʲ ɪ tʲ
athróidh	ˈɑ ɾˠ oː
crogall	ˈk ɾˠ ɔ ɡ ə l̪ˠ
théas	h eː sˠ
bheirid	ˈvʲ ɛ ɾʲ ə dʲ
ról	ɾˠ oː lˠ
dheinim	ˈj ɛ nʲ ɪ mʲ
ts	t̪ˠ
chiardhuibh	ˈç i ə ɾˠ ɣ ɪ vʲ
dhiaidh	j i ə ɟ
goid	ɡ ɛ dʲ
só	sˠ oː
cnámha	ˈk ɾˠ ãː w ə
úir	uː ɾʲ
sothuigsithe	ˈsˠ ɔː ˌh ɪ c ʃ i
saillfidh	ˈsˠ æ l̠ʲ h ə
caoile	ˈk iː lʲ ə
trínár	ˈtʲ ɾʲ iː nˠ ɑː ɾˠ
ndéanas	ˈn̠ʲ iː n ə sˠ
thogh	h eː
fhís	iː ʃ
dhona	ˈɣ ɔ n̪ˠ ə
fén	fʲ eː n̪ˠ
carbón	k ə ɾˠ ə ˈbˠ oː n̪ˠ
fága	ˈfˠ ɑː ɡ ə
Protastúnach	pˠ ɾˠ ɔ t̪ˠ ə sˠ ˈt̪ˠ uː n̪ˠ ə x
beacht	bʲ a x t̪ˠ
críochnaigh	ˈc ɾʲ iː x n̪ˠ ɪ ɟ
suaimhneach	ˈsˠ u ə nʲ ə x
guid	ɡ ɪ dʲ
anseo	ə n̪ˠ ˈʃ ɔ
adhlaic	ˈə i l̪ˠ ə c
bhean	vʲ a n̪ˠ
shnua	h n̪ˠ uː ə
id	ɪ d̪ˠ
Ceallach	c ə ˈl̪ˠ a x
ócáid	oː ˈk ɑː dʲ
dul	d̪ˠ ʊ lˠ
Doire	ˈd̪ˠ ɪ ɾʲ ə
fuinneoga	fˠ ɪ ˈɲ oː ɡ ə
mura	ˈmˠ ʊ ɾˠ ə
fuaigh	fˠ u ə ɟ
scion	ʃ c ɨ̞ nˠ
Aibreán	a bʲ ə ˈɾʲ ɑː n̪ˠ
gruama	ˈɡ ɾˠ u ə mˠ ə
buairt	bˠ u ə ɾˠ tʲ
crúbchrois	ˈk ɾˠ uː bˠ ˌx ɾˠ ʌ ʃ
buin	bˠ ɪ nʲ
rinn	ɾˠ ɪ n̠ʲ
sponc	sˠ pˠ ɔ ŋ k
gealach	ɟ ə ˈl̪ˠ ɑ x
maidhm	mˠ ə i mʲ
fhéir	eː ɾʲ
carthanas	ˈk a ɾˠ h ə nˠ ə sˠ
ardintinneach	ˌɑː ɾˠ d̪ˠ ˈiː n tʲ ə n̠ʲ ə x
stiúrú	ʃ tʲ uː ˈɾˠ uː
dúradh	ˈd̪ˠ uː ɾˠ ə ɡ
taoide	ˈt̪ˠ iː dʲ ə
bheatha	ˈvʲ a h ə
adhall	ˈə i ə l̪ˠ
beaga	bʲ ɞ ɡ ə
mhitheas	ˈvʲ ɪ h ə sˠ
léití	lʲ eː ˈtʲ iː
teorainn	ˈtʲ oː ɾˠ ə nʲ
bachall	ˈbˠ ɑ x ə l̪ˠ
garg	ˈɡ ɑ ɹ ɡ
glaise	ˈɡ lˠ a ʃ ə
saibhris	ˈsˠ ɛ vʲ ə ɾʲ ə ʃ
órga	ˈoː ɾˠ ɡ ə
cac	k ɑ k
gcóstaí	ɡ oː sˠ ˈt̪ˠ iː
geac	ɟ a k
nod	n̪ˠ ɔ d̪ˠ
tséabra	ˈtʲ eː bˠ ɾˠ ə
bheadh	vʲ ɛ x
chileagram	ˈç ɪ lʲ ə ɡ ɾˠ a mˠ
éasca	ˈiː ɑ̯ s k ə
clois	k lˠ ɔ ʃ
snua	sˠ n̪ˠ uː ə
aithne	ˈɑ h ə nʲ ə
aonaid	ˈeː nˠ ə dʲ
cailleadh	ˈk a l̠ʲ ə
aibidh	ˈa bʲ ɪ ɟ
bláthach	ˈbˠ l̪ˠ ɑː h ə x
boiriceach	ˈbˠ ɛ ɾʲ ɪ c ə x
gaiste	ˈɡ a ʃ tʲ ə
náisiún	n̪ˠ ɑː ˈʃ uː n̪ˠ
garbh	ˈɡ ɑ ɾˠ ə vˠ
chneasta	ˈç nʲ a sˠ t̪ˠ ə
bhligh	vʲ lʲ ɪ ɟ
bearrfaidh	ˈbʲ aː ɾˠ h ə
finne	ˈfʲ ɪ n̠ʲ ə
spideog	s pʲ iː ˈd̪ˠ oː ɡ
liobarnach	ˈlʲ ɨ̞ bˠ ə ɾˠ n̪ˠ ə x
mhill	ˈvʲ ɪ l̠ʲ
phráis	fˠ ɾˠ ɑː ʃ
deoise	ˈdʲ oː ʃ ə
iascach	ˈi ə s k ə x
shil	h ɪ lʲ
slige	ˈʃ l̠ʲ ɪ ɟ ɪ
concas	ˈk uː ŋ k ə sˠ
treabhsar	ˈtʲ ɾʲ ə u sˠ ə ɾˠ
aithníonn	ˈa h nʲ iː n̪ˠ
eiscir	ˈɛ ʃ c ə ɾʲ
traona	ˈt̪ˠ ɾˠ eː nˠ ə
seilg	ˈʃ ɛ lʲ ɪ ɟ
seisear	ˈʃ ɛ ʃ ə ɾˠ
dhóigh	ɣ oː ɟ
crómatach	ˈk ɾˠ oː mˠ ə t̪ˠ ə x
giolcach	ˈɟ ɨ̞ lˠ k a x
uasal	ˈu ə sˠ ə lˠ
ag	ə
scóir	sˠ k oː ɾʲ
oiliúin	ˈɛ l uː n
Ciarraí	ˈc i ə ɾˠ iː
sonrú	sˠ ɔ n̪ˠ ˈɾˠ uː
ngleann	ɲ lʲ ɑ u n̪ˠ
rochtain	ˈɾˠ ɔ x t̪ˠ ə nʲ
drithle	ˈdʲ ɾʲ ɨ̞ h ə lʲ ə
pé	pʲ eː
raibh	ɾˠ ɛ vʲ
sár	sˠ ɑː ɾˠ
deas	dʲ a sˠ
cead	c a d̪ˠ
ngrian	ɲ ɾʲ iː a̯ n̪ˠ
bíonns	bʲ iː n̪ˠ sˠ
baothchaifeach	ˈbˠ iː ˌx a fʲ a x
oirnis	ˈə u ɾʲ n̠ʲ ə ʃ
maitheamh	ˈmˠ a h ə vˠ
slánlus	ˈsˠ l̪ˠ aː n̪ˠ l̪ˠ ə sˠ
drochamhras	ˈd̪ˠ ɾˠ ʌ h ã ũ ɾˠ ə sˠ
troigh	t̪ˠ ɾˠ ɪ ɟ
scuab	sˠ k u ə bˠ
mothaím	ˈmˠ uː . iː mʲ
bábhún	ˈbˠ aː w ə nˠ
ort	ɔ ɾˠ t̪ˠ
chaoil	x iː lʲ
leathuair	ˈl̠ʲ a ˌh u ə ɾʲ
mbeinn	mʲ e i n̠ʲ
eisigh	ˈɛ ʃ ɪ ɟ
ná	n̪ˠ ɑː
míorúilteach	mʲ iː ˈɾˠ uː l̪ˠ t̪ˠ ə x
bleán	bʲ lʲ ɑː nˠ
ásc	ɑː sˠ k
peacadh	ˈpʲ a k u
Gardaí	ɡ ɑː ɾˠ ˈd̪ˠ iː
cíora	ˈc iː ɾˠ ə
fascadh	ˈfˠ ɑ sˠ k ə
náireach	ˈn̪ˠ ɑː ɾʲ ə x
píosa	ˈpʲ iː sˠ ə
láithreach	ˈlˠ ɑː h ə ɾʲ ə x
caolú	k eː ˈl̪ˠ uː
duilleach	ˈd̪ˠ ɪ l̠ʲ ə x
thair	h a ɾʲ
múin	mˠ uː nʲ
shnaidhm	h n̪ˠ ĩː mʲ
muca	ˈmˠ ʊ k ə
scian	sˠ c i ə n̪ˠ
baos	bˠ iː sˠ
luígí	ˈl̪ˠ iː ɟ iː
meánaois	mʲ ɑ̃ː n̪ˠ ˈeː sˠ
donas	ˈd̪ˠ ɔ nˠ ə sˠ
Victeoiria	vʲ ɪ c ˈtʲ oː ɾʲ i ə
déanaigí	ˈdʲ iː n ɪ ɟ iː
piocadh	ˈpʲ ʊ k ə
léis	l̠ʲ eː ʃ
cogús	k ə ˈɡ uː sˠ
dair	d̪ˠ a ɾʲ
bhunadh	ˈvˠ ʊ n̪ˠ ə
aird	ɑː ɾˠ dʲ
beartach	ˈbʲ a ɾˠ t̪ˠ ə x
tóra	ˈt̪ˠ oː ɾˠ ə
mhéir	vʲ eː ɾʲ
bromach	bˠ ɾˠ ə ˈmˠ ɑ x
síochán	ʃ iː ˈx ɑː n̪ˠ
th	h
anall	ə ˈn̪ˠ ɑ u l̪ˠ
dua	d̪ˠ u ə
iontach	ˈuː n̪ˠ t̪ˠ ə x
tiorma	ˈtʲ ɾʲ ʊ m ə
sceideal	ˈʃ c ɛ dʲ ə lˠ
chrainn	x ɾˠ a i ɲ
sáinn	sˠ ɑː n̠ʲ
sochreidte	ˈsˠ ɔ ˌç ɾʲ ɛ tʲ ə
geoin	ɟ oː nʲ
fheabhas	ə u sˠ
carcair	ˈk a ɾˠ k ə ɾʲ
scaraid	ˈsˠ k a ɾˠ ə dʲ
preas	pʲ ɾʲ a sˠ
fleaite	ˈfʲ lʲ a tʲ ə
searbh	ˈʃ a ɾˠ ə vˠ
dhorcha	ˈɣ ɔ ɾˠ ə x ə
gC	ɡ
nóinín	n̪ˠ oː ˈnʲ iː nʲ
píbe	ˈpʲ iː bʲ ə
sleamhna	ˈʃ l̠ʲ ã u nˠ ə
troime	ˈt̪ˠ ɾˠ ɪ mʲ ə
dúras	ˈd̪ˠ uː ɾˠ ə sˠ
straitéis	sˠ t̪ˠ ɾˠ a ˈtʲ eː ʃ
tuiscint	ˈt̪ˠ ɪ ʃ c ɪ nʲ tʲ
thaitin	ˈh æ tʲ i nʲ
uaigh	u ə ɟ
gléas	ɟ lʲ eː sˠ
Vallúinis	w a l̪ˠ uː nʲ ɪ ʃ
uaimh	u ə vʲ
smiolgadán	ˈsˠ mʲ ɪ l̪ˠ ə ɡ ə d̪ˠ ɑː n̪ˠ
dorrga	ˈd̪ˠ ɔ ɾˠ ə ɡ ə
Bíobla	ˈbʲ iː bˠ l̪ˠ ə
pheata	ˈfʲ a t̪ˠ ə
cruithneachta	ˈk ɾˠ ɪ h nʲ ə x t̪ˠ ə
glé	ɟ lʲ eː
collaíocht	ˈk ɔ l̪ˠ iː x t
neach	nʲ a x
voiceless	ˈv ɔ ɪ s l ə s
cun	k ʊ n̪ˠ
fiafraí	ˈfʲ i ə ɾˠ iː
tusa	ˈt̪ˠ ʊ sˠ ə
bráithre	ˈbˠ ɾˠ ɑː ɾʲ ə
pósad	ˈpˠ oː sˠ ə d̪ˠ
boscaí	bˠ ɔ sˠ ˈk iː
